,0,1,2,3,4,5
0,-56.0,-66.0,-71.0,-55.0,55.659029161581174,36.29469584778287
1,-56.0,-69.0,-88.0,-64.0,50.64229314456994,36.180045681785394
2,-61.0,-68.0,-82.0,-74.0,45.62020661672842,36.06527323775865
3,-67.0,-73.0,-88.0,-73.0,40.52118866629071,35.948742638128316
4,-72.0,-77.0,-93.0,-78.0,35.69484163241402,35.83844353464233
5,-49.0,-56.0,-66.0,-51.0,61.500919264586926,38.08691210747828
6,-53.0,-53.0,-60.0,-51.0,61.418345031396754,42.36057178800544
7,-52.0,-57.0,-55.0,-63.0,61.25010443904335,51.06792532544855
8,-58.0,-62.0,-55.0,-73.0,61.15598544069268,55.93908856052085
9,-69.0,-93.0,-63.0,-93.0,61.089737813793576,59.36775873985032
10,-75.0,-93.0,-63.0,-74.0,61.082027251337024,59.76682174003575
11,-71.0,-75.0,-62.0,-75.0,61.00111192428071,63.95462411729628
12,-76.0,-75.0,-70.0,-93.0,60.91415273013999,68.45522904067384
13,-93.0,-76.0,-73.0,-88.0,60.819348836431296,73.36183934142845
14,-74.0,-82.0,-82.0,-76.0,38.63669377879727,35.25973812943849
15,-68.0,-77.0,-82.0,-69.0,43.796293297637845,35.447734755738225
16,-62.0,-76.0,-80.0,-63.0,48.93340095494386,35.63491186170118
17,-53.0,-66.0,-79.0,-69.0,53.99012949607146,35.819160251775905
18,-58.0,-93.0,-73.0,-58.0,59.39192626317664,36.015981644975255
19,-93.0,-81.0,-70.0,-93.0,55.79362051656037,71.10410651835781
20,-70.0,-93.0,-93.0,-93.0,48.92737231610249,71.03749316684727
21,-93.0,-81.0,-93.0,-93.0,48.50265964508128,71.03337278910864
22,-77.0,-78.0,-93.0,-93.0,44.284633258251695,70.99245133276536
23,-93.0,-87.0,-93.0,-93.0,40.00121240286058,70.95089544840906
24,-93.0,-89.0,-93.0,-93.0,30.029012257715785,70.85414950304589
25,-66.0,-56.0,-93.0,-44.0,63.23434073783345,33.68013510040589
26,-67.0,-93.0,-93.0,-60.0,63.436850604060055,24.74310135374258
27,-74.0,-82.0,-78.0,-66.0,63.57663727496403,18.574126919990643
28,-93.0,-93.0,-93.0,-93.0,63.64950504815337,15.358373696875491
29,-56.0,-66.0,-71.0,-55.0,55.659029161581174,36.29469584778287
30,-56.0,-69.0,-88.0,-64.0,50.64229314456994,36.180045681785394
31,-61.0,-68.0,-82.0,-74.0,45.62020661672842,36.06527323775865
32,-67.0,-73.0,-88.0,-73.0,40.52118866629071,35.948742638128316
33,-72.0,-77.0,-93.0,-78.0,35.69484163241402,35.83844353464233
34,-72.0,-77.0,-93.0,-67.0,63.14033391902999,13.859011112844875
35,-77.0,-68.0,-77.0,-63.0,63.520819863208715,26.844416226493856
36,-59.0,-67.0,-72.0,-55.0,63.686712207026794,32.50606897152529
37,-75.0,-93.0,-72.0,-81.0,60.58014481003264,69.7469272601639
38,-72.0,-77.0,-70.0,-77.0,60.73712130441331,64.87711932571722
39,-75.0,-66.0,-64.0,-71.0,60.89706672553873,59.915207765869944
40,-73.0,-64.0,-52.0,-72.0,61.046806735319,55.26989389778308
41,-60.0,-56.0,-51.0,-67.0,61.197905763832146,50.58241983677086
42,-56.0,-59.0,-58.0,-56.0,61.39742022036489,44.392976709358166
43,-57.0,-52.0,-62.0,-59.0,61.54516004224102,39.809713712798015
44,-59.0,-66.0,-63.0,-55.0,61.698674217336595,35.04731567107337
45,-67.0,-71.0,-76.0,-55.0,61.85327756204381,30.251128847911282
46,-67.0,-71.0,-74.0,-61.0,62.00610880147587,25.509917202241997
47,-73.0,-75.0,-93.0,-69.0,62.437933333891976,12.1136278936232
48,-51.0,-93.0,-78.0,-76.0,32.44293837106495,59.760937312366025
49,-51.0,-61.0,-77.0,-76.0,35.13955399503199,60.88094563846929
50,-51.0,-57.0,-74.0,-76.0,36.693588224837505,61.52639590623561
51,-51.0,-55.0,-73.0,-76.0,38.15783013217264,62.134551965139636
52,-66.0,-56.0,-93.0,-44.0,63.23434073783345,33.68013510040589
53,-67.0,-93.0,-93.0,-60.0,63.436850604060055,24.74310135374258
54,-74.0,-82.0,-78.0,-66.0,63.57663727496403,18.574126919990643
55,-93.0,-93.0,-93.0,-93.0,63.64950504815337,15.358373696875491
56,-75.0,-93.0,-72.0,-81.0,60.58014481003264,69.7469272601639
57,-72.0,-77.0,-70.0,-77.0,60.73712130441331,64.87711932571722
58,-75.0,-66.0,-64.0,-71.0,60.89706672553873,59.915207765869944
59,-73.0,-64.0,-52.0,-72.0,61.046806735319,55.26989389778308
60,-60.0,-56.0,-51.0,-67.0,61.197905763832146,50.58241983677086
61,-56.0,-59.0,-58.0,-56.0,61.39742022036489,44.392976709358166
62,-57.0,-52.0,-62.0,-59.0,61.54516004224102,39.809713712798015
63,-59.0,-66.0,-63.0,-55.0,61.698674217336595,35.04731567107337
64,-67.0,-71.0,-76.0,-55.0,61.85327756204381,30.251128847911282
65,-67.0,-71.0,-74.0,-61.0,62.00610880147587,25.509917202241997
66,-73.0,-75.0,-93.0,-69.0,62.437933333891976,12.1136278936232
67,-71.0,-81.0,-93.0,-77.0,38.2595904043594,35.750100525769156
68,-72.0,-93.0,-93.0,-65.0,42.95540149295085,35.91976174461068
69,-58.0,-66.0,-77.0,-60.0,47.60739048263967,36.08783965549584
70,-55.0,-62.0,-75.0,-67.0,52.22053835799327,36.25451422445532
71,-53.0,-52.0,-74.0,-58.0,56.82580437215932,36.420904019565704
72,-77.0,-93.0,-73.0,-80.0,60.79627392950945,70.11755365244841
73,-68.0,-72.0,-60.0,-93.0,60.986664834337255,66.04281151832554
74,-68.0,-63.0,-59.0,-75.0,61.179210208365014,61.921959489596674
75,-66.0,-59.0,-55.0,-71.0,61.33962047569946,58.488862316763324
76,-61.0,-93.0,-49.0,-70.0,61.466741428144815,55.76822238199829
77,-57.0,-52.0,-51.0,-68.0,61.48205326293684,55.44051881385681
78,-56.0,-66.0,-71.0,-55.0,55.71035264802091,43.26337250064313
79,-56.0,-69.0,-88.0,-64.0,54.67339258770615,42.964149212238354
80,-61.0,-68.0,-82.0,-74.0,54.30692038153741,43.55680391254581
81,-67.0,-73.0,-88.0,-73.0,53.8190217521147,43.26019260302588
82,-72.0,-77.0,-93.0,-78.0,52.922488661978775,43.291503992948165
83,-49.0,-56.0,-66.0,-51.0,56.5332421945844,43.453726596158845
84,-53.0,-53.0,-60.0,-51.0,56.60396328059274,44.05256765523302
85,-52.0,-57.0,-55.0,-63.0,56.51405682167424,45.26543926860907
86,-58.0,-62.0,-55.0,-73.0,56.429535701820356,46.22136475877582
87,-69.0,-93.0,-63.0,-93.0,56.516170947467714,49.07767331826187
